cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_mean_atom_fraction,recoverable_efficiency,oracle_efficiency_pass
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,True,1.0,657,638,0.02,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437,0.0911583798523684,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True,0.02,0.09194353263652216,0.09332355766291041,657,0.10976490624748046,0.03654573825758572,0.03333333333333333,0.9612068965517241,0.8514419903042437,638,-2.0816681711721685e-17,1.0,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,True,1.0,657,638,0.02,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437,0.0911583798523684,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True,0.02,0.09194353263652216,0.09332355766291041,657,0.10976490624748046,0.03654573825758572,0.03333333333333333,0.9612068965517241,0.8514419903042437,638,-2.0816681711721685e-17,1.0,True
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,True,1.0,657,638,0.02,0.1128997024857249,0.0365457382575857,0.9580721003134796,0.8483071940659993,0.0742450784816634,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True,0.02,0.09194353263652216,0.09332355766291041,657,0.10976490624748046,0.03654573825758572,0.03333333333333333,0.9612068965517241,0.8514419903042437,638,-2.0816681711721685e-17,1.0,True
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,True,1.0,657,638,0.02,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437,0.0742450784816634,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True,0.02,0.09194353263652216,0.09332355766291041,657,0.10976490624748046,0.03654573825758572,0.03333333333333333,0.9612068965517241,0.8514419903042437,638,-2.0816681711721685e-17,1.0,True
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,True,0.8677312795297718,1625,1644,0.89,0.0957696367424396,0.9091218677307265,0.3433532474922704,0.3322930462208286,0.093952075358004,0.9091218677307265,0.0,0.7280697017416949,0.4466803208096837,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5635848209938347,0.0,True
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,True,0.8677312795297718,1625,1644,0.86,0.0886264400404617,0.8782821505199192,0.3524390040803632,0.3387256119351242,0.093952075358004,0.9091218677307265,0.0308397172108071,0.6835458342234673,0.407668558120843,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5327451037830274,0.054720631326486024,True
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,True,0.8490070019326929,1625,1644,0.88,0.0984274178653966,0.8975096610559893,0.3438501072994472,0.3312258666054371,0.0917560101433417,0.9091218677307265,0.011612206674737,0.698561848178912,0.4521799891245991,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5519726143190975,0.02060418634813481,True
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,True,0.8490070019326929,1625,1644,0.8300000000000001,0.0958013357071782,0.8488238590750994,0.3609632802117175,0.3449371098529565,0.0917560101433417,0.9091218677307265,0.0602980086556269,0.6587230921610724,0.3847906348929984,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5032868123382076,0.10699012182282797,True
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,True,0.8713432034839238,1625,1644,0.89,0.0993197759423381,0.9091218677307265,0.3399115894154874,0.3281042733649751,0.1009310918100055,0.8975096610559893,-0.011612206674737,0.7555025152584035,0.4813722402160729,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5635848209938347,-0.021037650009252284,True
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,True,0.8713432034839238,1625,1644,0.89,0.0973045327452572,0.9091218677307265,0.3411192816040406,0.328711801357458,0.1009310918100055,0.8975096610559893,-0.011612206674737,0.7380470693190322,0.4296613736192078,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.5635848209938347,-0.021037650009252284,True
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,True,0.9693213092997706,1625,1644,0.94,0.0850178819165395,0.9576176765857716,0.3355240825582011,0.3286465148796221,0.093952075358004,0.9091218677307265,-0.0484958088550453,0.7066649470841255,0.4927720862408779,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.6120806298488798,-0.08604882006851572,True
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,True,0.9693213092997706,1625,1644,0.8,0.0977704662515104,0.8149319138164086,0.3733151696420775,0.3556918886306996,0.093952075358004,0.9091218677307265,0.0941899539143177,0.608455432735569,0.2804851543959134,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.46939486707951683,0.16712649171108215,True
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,True,0.9674401064612864,1625,1644,0.94,0.0838261015186042,0.9576176765857716,0.3351763811529857,0.3282285973504502,0.0917560101433417,0.9091218677307265,-0.0484958088550453,0.7372493281931769,0.5236204325698418,True,False,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.6120806298488798,-0.08604882006851572,True
