family,task,alpha,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale
bxaic,PAINS,0.1,0.33,0.09700654338737216,0.09756188991665445,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644
bxaic,PAINS,0.2,0.26,0.19173390312509148,0.1922309917455561,1625,0.1917463801031757,0.2782687393194119,0.2777777777777778,0.9063790826222242,0.7146327025190484,1644
bxaic,rings-count,0.05,0.67,0.04743987343305189,0.04763285563049267,4935,0.04601217394901069,0.6901920253936611,0.6875,0.8734766339608417,0.8274644600118309,4933
bxaic,rings-count,0.1,0.61,0.0897761368023761,0.08996054196104637,4935,0.08780356464039339,0.6277794572679153,0.625,0.9099283223771735,0.8221247577367802,4933
bxaic,rings-count,0.2,0.51,0.18994357247449462,0.1901076843925503,4935,0.18791575977441774,0.5269290773454267,0.5238095238095238,0.9491057576777953,0.7611899979033775,4933
bxaic,rings-max,0.05,0.32,0.04329902952689499,0.04650943546807992,297,0.029504713752498895,0.33214832055553567,0.32967032967032966,0.7713442370792205,0.7418395233267215,277
bxaic,rings-max,0.1,0.27,0.09237590811641701,0.0954216265455565,297,0.07382386962530511,0.2818605783877526,0.2777777777777778,0.8519411004996686,0.7781172308743637,277
bxaic,rings-max,0.2,0.21,0.18722118061293955,0.18994862631558065,297,0.1742916351594168,0.2219149590155077,0.21875,0.936325830942656,0.762034195783239,277
google,benzene,0.05,0.43,0.048174999999999996,0.04912587412587413,1000,0.05252514419181086,0.451984066812143,0.45,0.7558820725487392,0.7033569283569283,999
google,benzene,0.1,0.35000000000000003,0.09808333333333333,0.09898434898434898,1000,0.10329138662471997,0.37602505045528634,0.375,0.8376114209447543,0.7343200343200343,999
google,benzene,0.2,0.25,0.19616527777777776,0.19696830946830926,1000,0.2154819502041724,0.2670573911437793,0.26666666666666666,0.984984984984985,0.7695030347808126,999
google,logic7,0.05,0.22,0.03354978354978355,0.04797441364605543,66,0.01990881458966565,0.24287701114996674,0.24,0.7847517730496453,0.7648429584599795,47
google,logic7,0.1,0.19,0.08284632034632033,0.09653518123667378,66,0.044756838905775066,0.21349909132728323,0.21052631578947367,0.8617021276595743,0.8169452887537995,47
google,logic7,0.2,0.15,0.16612554112554112,0.17857142857142852,66,0.1325227963525836,0.17426916493795,0.17647058823529413,0.9361702127659575,0.8036474164133736,47
google,logic8,0.05,0.32,0.044566420774599214,0.04810506366061922,269,0.04681324110671937,0.34094816462120053,0.3333333333333333,0.8299042443064183,0.7830910031996988,184
google,logic8,0.1,0.27,0.0932908273056972,0.09664900942678722,269,0.09199153805132065,0.2909041702993742,0.2916666666666667,0.9117494824016563,0.8197579443503354,184
google,logic8,0.2,0.22,0.1778578608504259,0.1809028317361651,269,0.17074922360248446,0.2446970697600939,0.24,0.9719202898550724,0.8011710662525878,184
google,logic10,0.05,0.46,0.042380500422779833,0.04734225948794675,192,0.05923250856286571,0.48754690478550167,0.48,0.9387175324675325,0.8794850239046667,112
google,logic10,0.1,0.41000000000000003,0.08291097901621798,0.08766273560162612,192,0.10981198860663145,0.434170783989253,0.43478260869565216,0.9902597402597403,0.8804477516531088,112
google,logic10,0.2,0.35000000000000003,0.18802954602586955,0.19223664682366334,192,0.21720768071214502,0.37697650218734335,0.375,1.0,0.7827923192878552,112
