cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,True,0.9099242400020707,4935,4933,0.86,0.09718923829231109,0.8772717462941478,0.6593838241892481,0.6160138859771437,0.0911411795277234,0.9084471118578897,0.031175365563741897,0.8741273695395494,0.5467574558266218,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gradinput,True,0.9371398317019659,4935,4933,0.91,0.08525569381922454,0.9282105650069855,0.6334656451120676,0.5991413669066097,0.09132436920126225,0.9084471118578897,-0.019763453149095778,0.8450285891789254,0.5780728039837782,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,ig,True,0.9371398317019659,4935,4933,0.89,0.09230346340263443,0.9084471118578897,0.6408107614211386,0.6014790294993325,0.09132436920126225,0.9084471118578897,0.0,0.85208916319805,0.545730307837119,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gradinput,True,0.9397164861733437,4935,4933,0.89,0.09285890864191253,0.9084471118578897,0.64073363042045,0.6013627524947756,0.09121609378490615,0.9084471118578897,0.0,0.8117740519634347,0.5377069918172457,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,ig,True,0.9397164861733437,4935,4933,0.89,0.09968211792662801,0.9084471118578897,0.6361404579511645,0.5943229360448445,0.09121609378490615,0.9084471118578897,0.0,0.846805283249323,0.5518075953761384,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gradinput,True,0.9972499699304669,4935,4933,0.89,0.09613320832657868,0.9084471118578897,0.6404115441928311,0.6025083358481167,0.0911411795277234,0.9084471118578897,0.0,0.8343202563339817,0.5462757747257313,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,ig,True,0.9972499699304669,4935,4933,0.89,0.09182831535277988,0.9084471118578897,0.6457072121745934,0.6123853625155222,0.0911411795277234,0.9084471118578897,0.0,0.8723311850319148,0.5715170048337558,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,gradinput,True,0.9995775040308399,4935,4933,0.9,0.09149951973345447,0.915205996412866,0.6410228185337978,0.6073130659055345,0.09132436920126225,0.9084471118578897,-0.006758884554976308,0.8840422056644808,0.5815783582870827,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,ig,True,0.9995775040308399,4935,4933,0.9,0.09342659689856886,0.915205996412866,0.6400567764970337,0.6063204895471188,0.09132436920126225,0.9084471118578897,-0.006758884554976308,0.901486103870923,0.5885741740923045,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,gradinput,True,0.9993076394883763,4935,4933,0.89,0.09460945557820033,0.9084471118578897,0.641086522072392,0.6031558145495367,0.09121609378490615,0.9084471118578897,0.0,0.8475906946825241,0.5454297701949441,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,ig,True,0.9993076394883763,4935,4933,0.9,0.0941799224407364,0.915205996412866,0.6406271058561605,0.6078680865814945,0.09121609378490615,0.9084471118578897,-0.006758884554976308,0.8970288044289497,0.5906673219900079,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,gradinput,True,0.7547022386952845,297,277,0.9,0.08851722172782082,0.9101407650316404,0.2702047616046774,0.2635047603689398,0.08898424448827523,0.9026685530504263,-0.007472211981214172,0.6648283969271137,0.335609520001208,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,ig,True,0.7547022386952845,297,277,0.91,0.0910966984479162,0.9234847698070429,0.26575217267254664,0.25907776115274855,0.08898424448827523,0.9026685530504263,-0.0208162167566166,0.6317239733397318,0.34281430785465133,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,gradinput,True,0.7569430746624219,297,277,0.9,0.08896052427544164,0.9101407650316404,0.26910925086354276,0.26190827841607967,0.08910749369585744,0.9101407650316404,0.0,0.6837107972752371,0.3778433865909635,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,ig,True,0.7569430746624219,297,277,0.87,0.08378128936502155,0.8831394062523965,0.27822247864586647,0.2709427678530432,0.08910749369585744,0.9101407650316404,0.027001358779243922,0.8031180932438998,0.4335177223908283,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,gradinput,True,0.7570011789044905,297,277,0.9,0.0948870730361377,0.9101407650316404,0.26774956608323097,0.26030018720478626,0.09151102004337518,0.9101407650316404,0.0,0.6808112118522407,0.35899024069504953,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,ig,True,0.7570011789044905,297,277,0.92,0.08749858457981446,0.93310042311993,0.2637204207080502,0.2573218213892817,0.09151102004337518,0.9101407650316404,-0.022959658088289592,0.6351818929003887,0.32985707320756863,True,False
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,gradinput,True,0.8959765870485644,297,277,0.91,0.09717035565724894,0.9234847698070429,0.26294376819634163,0.25580720038501426,0.08898424448827523,0.9026685530504263,-0.0208162167566166,0.7592339659966051,0.45194568169871036,True,False
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,ig,True,0.8959765870485644,297,277,0.93,0.09765892384730589,0.9416332553306369,0.25876220343626416,0.2517864121655203,0.08898424448827523,0.9026685530504263,-0.03896470228021065,0.622984195382829,0.3245252577972558,True,False
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,gradinput,True,0.8938167912085224,297,277,0.92,0.08833164236156171,0.93310042311993,0.2640773686291316,0.25793045858905134,0.08910749369585744,0.9101407650316404,-0.022959658088289592,0.7695448452636559,0.5093311937990761,True,False
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,ig,True,0.8938167912085224,297,277,0.91,0.08851679679242744,0.9234847698070429,0.2658443098954486,0.2592408555449086,0.08910749369585744,0.9101407650316404,-0.01334400477540243,0.7721155817178993,0.5439234620237438,True,False
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,gradinput,True,0.8883966593118928,297,277,0.9400000000000001,0.08241617074873374,0.9522828292781326,0.260999538210218,0.25546698197411916,0.09151102004337518,0.9101407650316404,-0.04214206424649214,0.7443476658889828,0.5290862458201544,True,False
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,ig,True,0.8883966593118928,297,277,0.93,0.09994925441187473,0.9416332553306369,0.25733658573042917,0.25005050490361563,0.09151102004337518,0.9101407650316404,-0.03149249029899648,0.8531747384748546,0.6285685588856235,True,False
bxaic__X__gcn__seed123,bxaic,X,gcn,123,gradinput,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09262357553463152,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gcn__seed123,bxaic,X,gcn,123,ig,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09262357553463152,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,gradinput,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.08667203829322895,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,ig,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.08667203829322895,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gcn__seed42,bxaic,X,gcn,42,gradinput,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09146684778329003,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gcn__seed42,bxaic,X,gcn,42,ig,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09146684778329003,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gin__seed123,bxaic,X,gin,123,gradinput,True,1.0,2764,2822,0.06,0.08008940524000766,0.07771608055437464,0.6541456569849553,0.5871527554066532,0.09262357553463152,0.9087783882831856,0.831062307728811,0.003188243168753445,0.0002657689581856839,True,True
bxaic__X__gin__seed123,bxaic,X,gin,123,ig,True,1.0,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09262357553463152,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gin__seed2026,bxaic,X,gin,2026,gradinput,True,0.9996505246037515,2764,2822,0.05,0.09814833563947668,0.06814793693938972,0.7163485659942074,0.629389103494348,0.08667203829322895,0.9087783882831856,0.8406304513437959,0.003038062614604075,0.00023623907394283017,True,True
bxaic__X__gin__seed2026,bxaic,X,gin,2026,ig,True,0.9996505246037515,2764,2822,0.05,0.09234529153026674,0.06814793693938972,0.7271565036270918,0.6351655707077394,0.08667203829322895,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
bxaic__X__gin__seed42,bxaic,X,gin,42,gradinput,True,0.9998909415391307,2764,2822,0.05,0.09245497395745447,0.06814793693938972,0.7264477864052633,0.6350093219246302,0.09146684778329003,0.9087783882831856,0.8406304513437959,0.0016206281709470935,0.00017717930545712261,True,True
bxaic__X__gin__seed42,bxaic,X,gin,42,ig,True,0.9998909415391307,2764,2822,0.05,0.09216811222480963,0.06814793693938972,0.7275108622380061,0.6353427500131965,0.09146684778329003,0.9087783882831856,0.8406304513437959,0.001392826206787936,8.858965272856131e-05,True,True
