cell_id,family,task,model,seed,explainer,alpha,crc_fraction,crc_test_risk,crc_mean_atom_fraction,naive_fraction,naive_test_risk,random_fraction,crc_minus_naive_fraction,risk_pass,efficiency_pass
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.2,0.39,0.19480479240224774,0.4058785626735883,0.39,0.19480479240224774,0.8060574077896909,0.0,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.05,0.97,0.05057458232877834,0.9902939499285958,0.97,0.05057458232877834,0.9561229549588245,0.0,False,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.1,0.96,0.0988452823320176,0.9747994993281845,0.96,0.0988452823320176,0.90726752777742,0.0,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.2,0.93,0.17887548068246503,0.9462280636892683,0.93,0.17887548068246503,0.8060574077896909,0.0,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.05,0.88,0.048135326092824754,0.8954710135035089,0.88,0.048135326092824754,0.9561229549588245,0.0,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.1,0.66,0.09508876718541043,0.6771674344541085,0.66,0.09508876718541043,0.90726752777742,0.0,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.2,0.44,0.18701686881167123,0.45546499865365975,0.44,0.18701686881167123,0.8060574077896909,0.0,True,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.05,0.96,0.049074112636646496,0.9747994993281845,0.96,0.049074112636646496,0.9561229549588245,0.0,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.1,0.93,0.0921752491527803,0.9462280636892683,0.93,0.0921752491527803,0.90726752777742,0.0,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.2,0.85,0.20607871469403688,0.8652452057581679,0.85,0.20607871469403688,0.8060574077896909,0.0,False,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.05,0.79,0.04914263832780347,0.8060574077896909,0.78,0.0522919472093809,0.9561229549588245,0.010000000000000009,True,False
