cell_id,family,task,model,seed,explainer,trained_test_auroc,random_test_auroc,trained_fixed20_iou,random_fixed20_iou,iou_difference,trained_wins,tie
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,ig,0.8883966593118928,0.7239589784050997,0.09157507787440074,0.233035981116102,-0.14146090324170124,False,False
bxaic__X__gcn__seed123,bxaic,X,gcn,123,gradinput,1.0,0.4777260301711046,0.2838077320570864,0.0003071107961256792,0.28350062126096076,True,False
bxaic__X__gcn__seed123,bxaic,X,gcn,123,ig,1.0,0.4777260301711046,0.2838077320570864,0.0003071107961256792,0.28350062126096076,True,False
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,gradinput,1.0,0.5389329752743309,0.2838077320570864,0.12469949689576579,0.15910823516132064,True,False
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,ig,1.0,0.5389329752743309,0.2838077320570864,0.12469949689576579,0.15910823516132064,True,False
bxaic__X__gcn__seed42,bxaic,X,gcn,42,gradinput,1.0,0.3265138697946153,0.2838077320570864,0.010421272240564983,0.27338645981652143,True,False
bxaic__X__gcn__seed42,bxaic,X,gcn,42,ig,1.0,0.3265138697946153,0.2838077320570864,0.010421272240564983,0.27338645981652143,True,False
bxaic__X__gin__seed123,bxaic,X,gin,123,gradinput,1.0,0.5075707732440204,0.28208059176687034,0.0,0.28208059176687034,True,False
bxaic__X__gin__seed123,bxaic,X,gin,123,ig,1.0,0.5075707732440204,0.2838077320570864,0.0,0.2838077320570864,True,False
bxaic__X__gin__seed2026,bxaic,X,gin,2026,gradinput,0.9996505246037515,0.4350526752365999,0.2817243987237531,0.07273062109314558,0.2089937776306075,True,False
bxaic__X__gin__seed2026,bxaic,X,gin,2026,ig,0.9996505246037515,0.4350526752365999,0.2838077320570864,0.13644438335956136,0.14736334869752507,True,False
bxaic__X__gin__seed42,bxaic,X,gin,42,gradinput,0.9998909415391307,0.5128597830485389,0.28348867950557466,0.05108789578403327,0.23240078372154138,True,False
bxaic__X__gin__seed42,bxaic,X,gin,42,ig,0.9998909415391307,0.5128597830485389,0.2838077320570864,0.07308221173261556,0.21072552032447087,True,False
google__benzene__gcn__seed123,google,benzene,gcn,123,gradinput,0.9055409055409055,0.32283032283032287,0.483675403197247,0.02078389295881556,0.46289151023843145,True,False
google__benzene__gcn__seed123,google,benzene,gcn,123,ig,0.9055409055409055,0.32283032283032287,0.42853361652381255,0.020712988721244652,0.4078206278025679,True,False
google__benzene__gcn__seed2026,google,benzene,gcn,2026,gradinput,0.9104669104669104,0.5552655552655552,0.41615937596329755,0.01995060737750796,0.3962087685857896,True,False
google__benzene__gcn__seed2026,google,benzene,gcn,2026,ig,0.9104669104669104,0.5552655552655552,0.4306469901198143,0.01995060737750796,0.4106963827423063,True,False
google__benzene__gcn__seed42,google,benzene,gcn,42,gradinput,0.9302719302719303,0.8048018048018046,0.4882666922699603,0.2960600584310595,0.1922066338389008,True,False
google__benzene__gcn__seed42,google,benzene,gcn,42,ig,0.9302719302719303,0.8048018048018046,0.5049393301414286,0.2960600584310595,0.20887927171036907,True,False
google__benzene__gin__seed123,google,benzene,gin,123,gradinput,0.9713129713129713,0.5909455909455908,0.07669905079175804,0.06271143115828358,0.01398761963347446,True,False
google__benzene__gin__seed123,google,benzene,gin,123,ig,0.9713129713129713,0.5909455909455908,0.4481860427121864,0.08219730300483655,0.3659887397073499,True,False
google__benzene__gin__seed2026,google,benzene,gin,2026,gradinput,0.9726739726739727,0.28919328919328924,0.3003415756210734,0.09701794147098584,0.20332363415008753,True,False
google__benzene__gin__seed2026,google,benzene,gin,2026,ig,0.9726739726739727,0.28919328919328924,0.012370040659514343,0.010111115984868994,0.002258924674645349,True,False
google__benzene__gin__seed42,google,benzene,gin,42,gradinput,0.9731884731884732,0.5503545503545503,0.43027898820382476,0.0821022902034254,0.34817669800039935,True,False
google__benzene__gin__seed42,google,benzene,gin,42,ig,0.9731884731884732,0.5503545503545503,0.23798660929293883,0.14801949388722696,0.08996711540571187,True,False
google__logic10__gcn__seed123,google,logic10,gcn,123,gradinput,0.8715098349724955,0.5163464744124021,0.2156811894338155,0.10358841997877545,0.11209276945504006,True,False
google__logic10__gcn__seed123,google,logic10,gcn,123,ig,0.8715098349724955,0.5163464744124021,0.225669535733874,0.10358841997877545,0.12208111575509854,True,False
google__logic10__gcn__seed2026,google,logic10,gcn,2026,gradinput,0.9004417402900483,0.4639419069844974,0.2355927948102318,0.12166977183770086,0.11392302297253093,True,False
google__logic10__gcn__seed2026,google,logic10,gcn,2026,ig,0.9004417402900483,0.4639419069844974,0.16561734396555824,0.12166977183770086,0.04394757212785738,True,False
google__logic10__gcn__seed42,google,logic10,gcn,42,gradinput,0.864508668111352,0.5225975162527088,0.2719802562633445,0.2393485235003092,0.0326317327630353,True,False
google__logic10__gcn__seed42,google,logic10,gcn,42,ig,0.864508668111352,0.5225975162527088,0.2040853535470132,0.2393485235003092,-0.03526316995329598,False,False
google__logic10__gin__seed123,google,logic10,gin,123,gradinput,0.9443344724120687,0.40401525254209036,0.08326558804880069,0.10074219844820519,-0.0174766103994045,False,False
google__logic10__gin__seed123,google,logic10,gin,123,ig,0.9443344724120687,0.40401525254209036,0.1999577846873015,0.0788693715202312,0.1210884131670703,True,False
google__logic10__gin__seed2026,google,logic10,gin,2026,gradinput,0.9637022837139524,0.32608559759959993,0.11492418933436459,0.1589846777871988,-0.04406048845283421,False,False
google__logic10__gin__seed2026,google,logic10,gin,2026,ig,0.9637022837139524,0.32608559759959993,0.1860199502832049,0.10623819055134014,0.07978175973186476,True,False
google__logic10__gin__seed42,google,logic10,gin,42,gradinput,0.9550966827804634,0.5324012335389232,0.05180903655168361,0.11114489571132095,-0.05933585915963734,False,False
google__logic10__gin__seed42,google,logic10,gin,42,ig,0.9550966827804634,0.5324012335389232,0.15360693700096895,0.10485599063419994,0.04875094636676901,True,False
google__logic7__gcn__seed123,google,logic7,gcn,123,gradinput,0.9700479813890369,0.4809286095090389,0.3756685394983266,0.12018129624512602,0.2554872432532006,True,False
google__logic7__gcn__seed123,google,logic7,gcn,123,ig,0.9700479813890369,0.4809286095090389,0.30958367873261494,0.12018129624512602,0.18940238248748892,True,False
google__logic7__gcn__seed2026,google,logic7,gcn,2026,gradinput,0.9699995153395046,0.36155672951097756,0.3647262902582051,0.06750253292806485,0.2972237573301402,True,False
google__logic7__gcn__seed2026,google,logic7,gcn,2026,ig,0.9699995153395046,0.36155672951097756,0.2715997359614381,0.06750253292806485,0.20409720303337325,True,False
google__logic7__gcn__seed42,google,logic7,gcn,42,gradinput,0.9671400184170988,0.44612998594484565,0.4809861533265788,0.0,0.4809861533265788,True,False
google__logic7__gcn__seed42,google,logic7,gcn,42,ig,0.9671400184170988,0.44612998594484565,0.4273471800067544,0.0,0.4273471800067544,True,False
google__logic7__gin__seed123,google,logic7,gin,123,gradinput,0.9707265060824892,0.46255997673629623,0.09847333517546282,0.11457277946639649,-0.01609944429093367,False,False
google__logic7__gin__seed123,google,logic7,gin,123,ig,0.9707265060824892,0.46255997673629623,0.5780395136778115,0.13850204169353106,0.4395374719842804,True,False
google__logic7__gin__seed2026,google,logic7,gin,2026,gradinput,0.9703145446614646,0.5632724276644211,0.20195035460992905,0.13041202296521445,0.0715383316447146,True,False
google__logic7__gin__seed2026,google,logic7,gin,2026,ig,0.9703145446614646,0.5632724276644211,0.3786220871327254,0.20574130361364404,0.17288078351908134,True,False
google__logic7__gin__seed42,google,logic7,gin,42,gradinput,0.9656375708815974,0.5669558474288761,0.025287065180682203,0.12420788431426728,-0.09892081913358508,False,False
google__logic7__gin__seed42,google,logic7,gin,42,ig,0.9656375708815974,0.5669558474288761,0.3196470786896318,0.10474501857480578,0.21490206011482604,True,False
google__logic8__gcn__seed123,google,logic8,gcn,123,gradinput,0.7622837933894089,0.47807576116573863,0.34103120611272786,0.19353641527554571,0.14749479083718214,True,False
google__logic8__gcn__seed123,google,logic8,gcn,123,ig,0.7622837933894089,0.47807576116573863,0.2877864134657613,0.19353641527554571,0.09424999819021557,True,False
google__logic8__gcn__seed2026,google,logic8,gcn,2026,gradinput,0.7670225684160645,0.5461068001421632,0.3152180699735047,0.16093536596253988,0.15428270401096483,True,False
google__logic8__gcn__seed2026,google,logic8,gcn,2026,ig,0.7670225684160645,0.5461068001421632,0.2592534126501518,0.16093536596253988,0.0983180466876119,True,False
google__logic8__gcn__seed42,google,logic8,gcn,42,gradinput,0.773693875133278,0.4783126999170714,0.3174986094823051,0.09066933971825275,0.22682926976405238,True,False
google__logic8__gcn__seed42,google,logic8,gcn,42,ig,0.773693875133278,0.4783126999170714,0.2693729579599145,0.09066933971825275,0.17870361824166175,True,False
google__logic8__gin__seed123,google,logic8,gin,123,gradinput,0.9480289657623504,0.5064417723018599,0.08787856919650397,0.1882977228085924,-0.10041915361208842,False,False
google__logic8__gin__seed123,google,logic8,gin,123,ig,0.9480289657623504,0.5064417723018599,0.32305772428055035,0.1380953738290695,0.18496235045148085,True,False
google__logic8__gin__seed2026,google,logic8,gin,2026,gradinput,0.9461852861035422,0.43060656320341195,0.15856299497603848,0.08438472005048092,0.07417827492555756,True,False
google__logic8__gin__seed2026,google,logic8,gin,2026,ig,0.9461852861035422,0.43060656320341195,0.34475298252472164,0.12704450591678854,0.2177084766079331,True,False
google__logic8__gin__seed42,google,logic8,gin,42,gradinput,0.9017888875725626,0.537769517829641,0.11642947933708805,0.16416934514760603,-0.04773986581051798,False,False
google__logic8__gin__seed42,google,logic8,gin,42,ig,0.9017888875725626,0.537769517829641,0.22573566228457534,0.16499278197647763,0.06074288030809771,True,False
