cell_id,n_calibration_full,n_test,main_fraction,main_test_risk,fixed20_iou,fixed20_risk,mean_test_atoms,median_test_atoms,mean_test_rationale_fraction,median_test_rationale_fraction,cal_seconds,test_seconds,peak_vram_mib,total_seconds,family,task,model,fraction_grid,mean_atom_fraction,random_mean_atom_fraction,atom_fraction_saving_vs_random,test_risk,test_auroc,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_grid_fraction,excess_realized_atom_fraction
bxaic__rings-count__gin__seed42,4935,4933,0.9,0.0941799224407364,0.098294941523063,0.8970288044289497,34.77620109466856,29.0,0.6409435890524521,0.6666666666666666,8.97946290008258,9.306831199908627,20.72216796875,18.50442919996567,bxaic,rings-count,gin,0.9,0.915205996412866,0.9084471118578896,-0.0067588845549763,0.0941799224407364,0.9993076394883764,0.61,0.0897761368023761,0.0899605419610463,4935,0.0878035646403933,0.6277794572679153,0.625,0.9099283223771736,0.8221247577367802,4933,0.29000000000000004,0.28742653914495075
bxaic__rings-count__gcn__seed42,4935,4933,0.89,0.099682117926628,0.1364129720590553,0.846805283249323,34.77620109466856,29.0,0.6409435890524521,0.6666666666666666,16.54494509997312,11.960280300001614,20.2138671875,28.654283299925737,bxaic,rings-count,gcn,0.89,0.9084471118578896,0.9084471118578896,0.0,0.099682117926628,0.9397164861733436,0.61,0.0897761368023761,0.0899605419610463,4935,0.0878035646403933,0.6277794572679153,0.625,0.9099283223771736,0.8221247577367802,4933,0.28,0.28066765458997434
bxaic__rings-max__gin__seed42,297,277,0.93,0.0999492544118747,0.0915750778744007,0.8531747384748546,62.631768953068594,40.0,0.2695864100324637,0.2645161290322581,11.717171699972823,9.649755800026467,20.72216796875,21.379679100005887,bxaic,rings-max,gin,0.93,0.9416332553306368,0.9101407650316404,-0.0314924902989964,0.0999492544118747,0.8883966593118928,0.27,0.092375908116417,0.0954216265455565,297,0.0738238696253051,0.2818605783877526,0.2777777777777778,0.8519411004996686,0.7781172308743637,277,0.66,0.6597726769428842
bxaic__rings-max__gcn__seed42,297,277,0.92,0.0874985845798144,0.2709681124301318,0.6351818929003887,62.631768953068594,40.0,0.2695864100324637,0.2645161290322581,14.260280100046655,14.145041099982336,20.2138671875,28.41862799995579,bxaic,rings-max,gcn,0.92,0.93310042311993,0.9101407650316404,-0.0229596580882895,0.0874985845798144,0.7570011789044905,0.27,0.092375908116417,0.0954216265455565,297,0.0738238696253051,0.2818605783877526,0.2777777777777778,0.8519411004996686,0.7781172308743637,277,0.65,0.6512398447321774
google__benzene__gin__seed42,1000,999,0.73,0.1022534439201105,0.2379866092929388,0.7007384368495478,21.964964964964963,23.0,0.3729746351418178,0.3,2.9112628999864683,3.476330399978906,18.6904296875,6.428213900071569,google,benzene,gin,0.73,0.7551707536987445,0.9031661198214196,0.147995366122675,0.1022534439201105,0.9731884731884732,0.35,0.0980833333333333,0.0989843489843489,1000,0.1032913866247199,0.3760250504552863,0.375,0.8376114209447543,0.7343200343200343,999,0.38,0.37914570324345825
google__benzene__gcn__seed42,1000,999,0.47,0.1028022069688736,0.5049393301414286,0.4672577339244005,21.964964964964963,23.0,0.3729746351418178,0.3,4.021850000019185,4.5153572000563145,18.4560546875,8.570914899930358,google,benzene,gcn,0.47,0.4897098308181002,0.9031661198214196,0.4134562890033193,0.1028022069688736,0.9302719302719304,0.35,0.0980833333333333,0.0989843489843489,1000,0.1032913866247199,0.3760250504552863,0.375,0.8376114209447543,0.7343200343200343,999,0.12,0.11368478036281393
google__logic7__gin__seed42,66,47,0.74,0.091691995947315,0.3196470786896318,0.4981509625126647,21.680851063829788,22.0,0.196816600051579,0.1904761904761904,2.151216300087981,1.2142530999844894,18.71337890625,3.36942830006592,google,logic7,gin,0.74,0.7666275550759587,0.8983233285789827,0.1316957735030239,0.091691995947315,0.9656375708815974,0.19,0.0828463203463203,0.0965351812366737,66,0.044756838905775,0.2134990913272832,0.2105263157894736,0.8617021276595743,0.8169452887537995,47,0.55,0.5531284637486755
google__logic7__gcn__seed42,66,47,0.56,0.0679331306990881,0.4273471800067544,0.3614488348530901,21.680851063829788,22.0,0.196816600051579,0.1904761904761904,1.517632000031881,1.0985206000041217,18.47900390625,2.6192395999096334,google,logic7,gcn,0.56,0.584373580750989,0.8983233285789827,0.3139497478279937,0.0679331306990881,0.9671400184170988,0.19,0.0828463203463203,0.0965351812366737,66,0.044756838905775,0.2134990913272832,0.2105263157894736,0.8617021276595743,0.8169452887537995,47,0.37000000000000005,0.3708744894237058
google__logic8__gin__seed42,269,184,0.86,0.090565201706506,0.2257356622845753,0.6873556998556999,21.847826086956523,22.5,0.3053538395099064,0.28,2.181202400010079,1.3191132999490949,18.76123046875,3.508372399955988,google,logic8,gin,0.86,0.8816677529892157,0.9154662190660858,0.03379846607687,0.090565201706506,0.9017888875725626,0.27,0.0932908273056972,0.0966490094267872,269,0.0919915380513206,0.2909041702993742,0.2916666666666667,0.9117494824016564,0.8197579443503354,184,0.59,0.5907635826898415
google__logic8__gcn__seed42,269,184,0.96,0.0272541015747537,0.2693729579599145,0.6409592822636301,21.847826086956523,22.5,0.3053538395099064,0.28,3.415004500071518,2.5758183000143617,18.5234375,5.999746699933894,google,logic8,gcn,0.96,0.991304347826087,0.9154662190660858,-0.0758381287600011,0.0272541015747537,0.773693875133278,0.27,0.0932908273056972,0.0966490094267872,269,0.0919915380513206,0.2909041702993742,0.2916666666666667,0.9117494824016564,0.8197579443503354,184,0.69,0.7004001775267128
google__logic10__gin__seed42,192,112,0.87,0.0914248326078683,0.1536069370009689,0.8105648815470244,21.419642857142858,22.0,0.4953679494352989,0.4761904761904761,3.680944399908185,2.484431999968365,18.7685546875,6.173381199943833,google,logic10,gin,0.87,0.8955752374760533,0.9043177969998628,0.0087425595238096,0.0914248326078683,0.9550966827804634,0.41,0.0829109790162179,0.0876627356016261,192,0.1098119886066314,0.434170783989253,0.4347826086956521,0.9902597402597404,0.8804477516531088,112,0.46,0.46140445348680026
google__logic10__gcn__seed42,192,112,0.63,0.1044853212263926,0.2040853535470132,0.759926345975453,21.419642857142858,22.0,0.4953679494352989,0.4761904761904761,5.249637400032952,3.401703600073233,18.5341796875,8.66042899992317,google,logic10,gcn,0.63,0.6531162069280754,0.9043177969998628,0.2512015900717875,0.1044853212263926,0.864508668111352,0.41,0.0829109790162179,0.0876627356016261,192,0.1098119886066314,0.434170783989253,0.4347826086956521,0.9902597402597404,0.8804477516531088,112,0.22000000000000003,0.21894542293882235
