cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gnnexplainer,100,100,0.1426764705882353,0.8477160068553622,0.042600816823574014,0.04247286236633308,0.8300000000000001,False,False
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,100,100,0.08350980392156863,0.055257623773355115,0.6569999999999999,0.6234901960784314,0.04,True,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gnnexplainer,100,100,0.10892156862745099,0.8962998748416798,0.04219374848236981,0.04216567437381706,0.88,False,False
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,100,100,0.055,0.06707591441228643,0.5492807017543859,0.5316140350877192,0.05,True,True
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed123,bxaic,P,gin,123,gnnexplainer,100,100,0.05971568627450981,0.41138754558390483,0.09082049509060358,0.09029729352619381,0.4,True,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,100,100,0.07536274509803921,0.04520388166578497,0.79,0.7346372549019609,0.03,True,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gnnexplainer,100,100,0.12098039215686274,0.21284091774748398,0.14883945789852668,0.14797549344098146,0.2,False,True
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,100,100,0.07202941176470588,0.04520388166578497,0.79,0.7379705882352942,0.03,True,True
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,100,100,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.03,True,True
bxaic__P__gin__seed42,bxaic,P,gin,42,gnnexplainer,100,100,0.07861764705882353,0.5561508660437713,0.06487343587755501,0.06447547484867559,0.54,True,True
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,100,100,0.0954034802916382,0.9086314899912651,0.3161506394644306,0.3057527416028834,0.89,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,100,100,0.08498046251993621,0.8874475247500595,0.3251924209197897,0.3143420502525286,0.87,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,100,100,0.06879559694691274,0.8798495311356647,0.33267525002922793,0.3230911349061633,0.86,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,100,100,0.07861466165413533,0.8662478624341222,0.33585863175669156,0.3255708166927911,0.85,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gnnexplainer,100,100,0.07145162147793727,0.9283586838208707,0.3187372372775246,0.31192936154781686,0.91,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,100,100,0.10651329080276449,0.8960120751160097,0.3155151599942487,0.303692716016194,0.88,False,False
